,성별,연령,키,몸무게,학업성적,경제상태,건강인지,운동일수,스트레스인지,피로회복정도,음주경험,흡연경험,주중_인터넷이용시간,주말_인터넷이용시간
50093,1.0,15.0,173.0,90.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,160.0
50094,1.0,15.0,178.0,90.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,2.0,600.0,600.0
50095,1.0,15.0,172.0,64.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,20.0,0.0
50096,1.0,16.0,180.4,73.0,4.0,2.0,1.0,5.0,3.0,2.0,2.0,2.0,0.0,0.0
50097,1.0,15.0,158.0,51.0,4.0,4.0,2.0,5.0,2.0,4.0,1.0,1.0,20.0,20.0
50098,1.0,15.0,190.0,80.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,1.0,0.0,0.0
50099,1.0,16.0,174.0,70.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0
50100,1.0,15.0,164.0,48.0,5.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,240.0,360.0
50101,1.0,15.0,169.1,90.0,5.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,600.0,600.0
50102,2.0,15.0,170.0,81.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,180.0,480.0
50103,2.0,15.0,153.3,53.0,4.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0
50104,1.0,15.0,173.0,52.0,4.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,0.0,120.0
50105,1.0,17.0,177.9,60.1,3.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0
50106,1.0,16.0,176.0,74.0,2.0,3.0,1.0,5.0,2.0,4.0,2.0,1.0,0.0,240.0
50107,1.0,17.0,173.0,54.0,5.0,2.0,2.0,6.0,2.0,4.0,2.0,2.0,360.0,480.0
50108,1.0,16.0,164.0,45.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,600.0
50109,1.0,17.0,176.0,60.0,1.0,5.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0,180.0
50110,1.0,16.0,165.0,87.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,60.0,120.0
50111,1.0,17.0,182.0,82.0,5.0,5.0,3.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0
50112,1.0,17.0,171.0,65.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,600.0
